Time_s,Min_h,Max_h,Min_h_dot,Max_h_dot
0,-0.401268399313881,0.401063447451592,-0.402841394971399,0.417606080359534
0.00323054094461334,-0.402434569648126,0.402231899936066,-0.39105574407677,0.43618800341505
0.00639103953358883,-0.403513900678303,0.403388629239665,-0.378446441865387,0.454302762146321
0.00949034945736034,-0.404512498744307,0.404536826099311,-0.366843159762358,0.472047383197111
0.0125354598228707,-0.40543557610599,0.405678911081298,-0.35426104579593,0.489459089313029
0.0155325823208018,-0.406287864508903,0.406817046106712,-0.342215574083296,0.5065784468853
0.018488137728364,-0.40707316919643,0.408085268255706,-0.330959097756781,0.523435508463878
0.0214071317461384,-0.407794614630224,0.409352820371854,-0.31856414108243,0.540057044135552
0.0242934791056415,-0.40845485269147,0.410626493961818,-0.306558154620719,0.556466861293268
0.0271504137306928,-0.409056212320912,0.411908519256288,-0.294896778543781,0.572686158609698
0.0299808640255451,-0.409600735911474,0.413201125402326,-0.283538373011793,0.588733899498756
0.0327874806060282,-0.410137242195197,0.414505265174267,-0.27244748347738,0.604627112847677
0.0355726707506703,-0.410620994993644,0.41582292823405,-0.2615915757897,0.620379358815772
0.038338754308601,-0.411051659785057,0.417155947311545,-0.250956218990288,0.636004471321143
0.0410875812358145,-0.411430606128786,0.418506075762854,-0.240523833751644,0.65151484662377
0.0438210853173094,-0.411759021219582,0.419873626093601,-0.230576653415351,0.666909977836386
0.0465410365286554,-0.41203755344393,0.42126030984549,-0.219377928353158,0.682200488063684
0.0492472312576299,-0.41226734715791,0.422667715353241,-0.208348418144793,0.697395955224984
0.0519412070545057,-0.412449333924805,0.424097379172971,-0.197471681817393,0.712505002933185
0.0546243833220558,-0.412584206105383,0.425550820755437,-0.186732965374921,0.727541159456847
0.0572980699968743,-0.412672615772175,0.427029496570918,-0.176119217119907,0.742491799066273
0.0599634756007797,-0.412715123073897,0.428534746518555,-0.165617229278549,0.757364446406003
0.0626217147446296,-0.412711731071258,0.430067932138467,-0.155224437487266,0.772165431453211
0.0652715290092654,-0.412663392431718,0.43163041199018,-0.144931223785477,0.786900481091789
0.0679139367143117,-0.412514780046638,0.433223548471692,-0.13472894179886,0.801574836176863
0.0702863259271948,-0.412393218780105,0.434667762486845,-0.124609786961774,0.814655730849269
0.0726526093673264,-0.412236314074701,0.436156507995828,-0.114566874727599,0.827758742566269
0.0750136151479641,-0.412044316569122,0.437673934274264,-0.104593842820637,0.840808880638333
0.0773701088860947,-0.411817170266383,0.439221047323138,-0.0946849513016134,0.853810353296427
0.0797215571491321,-0.411555465039858,0.440797874087799,-0.084835001543082,0.866766659866318
0.0820686650228099,-0.41125938367072,0.44240548003405,-0.0750392818728422,0.879680991115705
0.0844120851712089,-0.410929076423943,0.444044800882368,-0.0652934705111882,0.892556191429264
0.0867524268004978,-0.410564662928723,0.445716743768167,-0.0555938652184818,0.905394858494498
0.0890902604171211,-0.410166230529994,0.447422191834667,-0.0459369476498738,0.918199226441557
0.0914261023929194,-0.40973385148745,0.449162002429595,-0.0363195053398683,0.930971385110323
0.0937604516321797,-0.409267569285736,0.450936999115663,-0.0267384418043997,0.943713224709941
0.0960937779284437,-0.408767405247709,0.452747966986377,-0.0171908345054554,0.956426440352349
0.0984265223261838,-0.408233361486767,0.454595679745169,-0.00767482777309897,0.969112533878685
0.100759101430317,-0.407665421104924,0.456480937980331,0.00181101989897037,0.981772815458489
0.103091907658023,-0.40706355099004,0.458183851080346,0.0112678371779468,0.994408381991463
0.105425313452454,-0.406427700887945,0.459946861056985,0.0206966753055134,1.0070200498107
0.107759667451124,-0.405757809525893,0.461743716208662,0.0300979607419876,1.01960835089512
0.110095306642822,-0.405053798365999,0.463575086961656,0.0394690442537431,1.03217397992852
0.112432548476958,-0.404265112298148,0.465442246761427,0.0488091900267546,1.04471747622027
0.114537755038652,-0.403571119898007,0.467345864978461,0.0581263078715179,1.0572392809974
0.116644095338049,-0.402849470065882,0.46928667800283,0.0674339657123164,1.06973971157447
0.118751841168668,-0.402100071765304,0.471265462455604,0.0770573976915644,1.08221898575588
0.120861250359573,-0.401322825912986,0.473283019922032,0.0854458791609909,1.09467722016709
0.122972566833168,-0.400517624734676,0.475340187311292,0.0938438806056513,1.10711443009978
0.125086013397188,-0.39968436029491,0.477437837213468,0.102253953325941,1.1195305521422
0.127201806250981,-0.398822915984324,0.479576875704204,0.110678697082128,1.13192541938431
0.129320151391286,-0.397933169295513,0.481758244703446,0.119120540545421,1.14296114620714
0.131441244625094,-0.397015071594505,0.483982927991997,0.127581405678484,1.15407744292594
0.13356563568214,-0.396068244850858,0.485985077027171,0.136063071879495,1.16517730007727
0.135693490147191,-0.395092545063253,0.488064731754158,0.144566938195786,1.17626037115336
0.137824970732946,-0.394087821081907,0.490184099111429,0.153090884463259,1.1873262651896
0.139960233634839,-0.39305391829875,0.492344017561543,0.161638947803309,1.19837454490321
0.142099432181463,-0.391990676566951,0.494545357650845,0.170210540177001,1.20940400955838
0.144242716841797,-0.390897931207005,0.49678934165644,0.178806201106316,1.22041340263357
0.146390238909271,-0.389775508860839,0.499076861682118,0.187425877731893,1.23140143940084
0.148542143160743,-0.388623234648419,0.501408768799844,0.196386544741253,1.24236698422232
0.150698575215969,-0.387440926119319,0.503786125584868,0.204198952784788,1.25330871541388
0.152859677865259,-0.386228352840386,0.506210032529455,0.2120381631674,1.2642276772088
0.155025379609476,-0.384938087734913,0.508681595724942,0.219904364685324,1.27511932059572
0.156978739475152,-0.383793179760335,0.511202337587544,0.227794747854341,1.28598280985421
0.158935840540912,-0.382623555704411,0.513465432747996,0.235708223169305,1.29681716775186
0.160896819316226,-0.381429054803639,0.515823015112068,0.243643216697061,1.30762125017158
0.162861809718328,-0.380209512086117,0.518220900242393,0.251600809905308,1.3183941306842
0.164830941386575,-0.378964761087311,0.520661460094719,0.259579918505322,1.32913662743713
0.166804344737377,-0.377694632706416,0.523146138473181,0.26758212245197,1.33984736870458
