Time,Min_state_1,Max_state_1,Min_state_2,Max_state_2,Min_state_3,Max_state_3,Min_state_4,Max_state_4,Min_state_5,Max_state_5,Min_state_6,Max_state_6
0,0,0.4,0,0.4,0,0.4,0,0.4,0.9,1,0.9,1
0.000981895901409869,0.00105644478919606,0.400692462636286,0.00169005877013687,0.401406361384252,0.00217801725660435,0.401969477285939,0.00210106887093342,0.401759769936172,0.898522885562082,0.998358761735647,0.898298471646692,0.99808718872161
0.00224165244987342,0.0023944053868413,0.40158343786336,0.00384941539531894,0.403207590201826,0.0049656049450949,0.404489879739196,0.00478854986426666,0.404012812718354,0.896631321517594,0.996257023908438,0.896120751125546,0.995639239519321
0.00343315292288916,0.00364394915896354,0.402423883457254,0.00588284805305664,0.404907129088297,0.00759512344902941,0.406867779726747,0.0073203549906056,0.4061409293884,0.894845910569536,0.994273233966151,0.894066489189376,0.993330489494907
0.00457071295991924,0.00482279148013226,0.403224219867931,0.00781621763724988,0.406526032978478,0.0100992304090703,0.40913255944664,0.00972861806888209,0.408169841619159,0.893144644497295,0.992382938330328,0.892110168283828,0.991132167044784
0.00578609001265501,0.0060652356017826,0.404079067062184,0.00987259857022474,0.408252399566823,0.01276771824466,0.411546355083759,0.0122919349521325,0.410334450873767,0.89133057371365,0.990367304126278,0.890025324021564,0.988789816209054
0.00696158310136715,0.00725260077847667,0.404903539314304,0.0118532825015767,0.409918110732715,0.0153419064663627,0.413874996877269,0.0147620725210775,0.41242447784362,0.8895795389624,0.988421709958223,0.888014110243927,0.98653051076275
0.0081039725112204,0.00839326561035689,0.405702536422738,0.0137705210185817,0.411533136390839,0.0178372688709701,0.416132429558272,0.0171542186056766,0.41445216689629,0.887881112074211,0.986534568971346,0.886064432700141,0.984340621203863
0.00934244411244713,0.00961309331860022,0.406568296566774,0.0158397783718248,0.413280560631312,0.0205354101500994,0.418573492015471,0.0197380197750707,0.416646647896471,0.886043499806495,0.984492777562772,0.883956194623553,0.981972984231035
0.0105550398521424,0.0107930648592395,0.407413251049719,0.0178573673588334,0.414987213050193,0.0231700930116545,0.420957161705545,0.0222586292244324,0.418791069746276,0.884247966398508,0.982497740442786,0.881897469206385,0.9796612458591
0.0117458181985312,0.0119381593193665,0.408240298234072,0.0198305865130669,0.416659062311489,0.025750557069927,0.423291773148199,0.0247250964027062,0.420892765260985,0.882488279788997,0.980542533098885,0.879881029531801,0.977397265122314
0.0129179639463116,0.0130523012651851,0.409051699294328,0.0217651824393459,0.418300780333701,0.0282840549040253,0.425583869517246,0.027144524444584,0.422957490736912,0.880759547834105,0.978621719815673,0.877901201068109,0.975174649996543
