Time,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9,traj_10,traj_11,traj_12,traj_13,traj_14,traj_15,traj_16,traj_17,traj_18,traj_19,traj_20
0,0.909871227865557,0.910676186160724,0.989092250433079,0.95000224355902,0.980548942452969,0.948990138851222,0.905961886757964,0.981814855385962,0.997297455476386,0.908346981485891,0.906047117916989,0.929198407996171,0.937240974005554,0.905267699768079,0.941774410431666,0.969810552018031,0.903260082053053,0.946072593726041,0.91909236952363,0.938461912436941
0.05,0.828821246876577,0.829454944100408,0.898221328270096,0.863923304606134,0.890516780790712,0.860666429403218,0.824345689269369,0.889508584401648,0.904683239902897,0.827486016070522,0.825496182035968,0.845103889028675,0.85074962978044,0.824965249493695,0.856892271186263,0.880272503924004,0.821356069535221,0.859487226262015,0.836004376179265,0.852130724712187
0.1,0.755804781108349,0.755903006057754,0.816693801344969,0.785878495276834,0.809884618443412,0.781480226396507,0.751067458662439,0.806979171406682,0.820687062945496,0.754412958167281,0.75299846677373,0.769675149159406,0.772789962705756,0.752987180527708,0.781299134527818,0.800747065900315,0.747437026520237,0.781426368289777,0.760918707680226,0.774501629011895
0.15,0.689784606553653,0.689525017035243,0.743056508514015,0.715983198853924,0.737313808336568,0.71002439083954,0.684805094626645,0.732266585551652,0.745884614343755,0.688687100677371,0.686963077300992,0.701500697250668,0.702416385505405,0.687197170583082,0.712292814016811,0.728133332773267,0.680574845812908,0.710923849227557,0.69293428510762,0.70469016398844
0.2,0.629847728332603,0.629207210681012,0.676726085027026,0.652604315959853,0.671529397236967,0.645326707338687,0.624315928384916,0.664783040080666,0.678232243390364,0.629008806341155,0.627556028440339,0.639564750988424,0.639013634070778,0.628105991384036,0.649788639590309,0.662476753721355,0.619968458138482,0.647021895342802,0.631165747873036,0.641206803397318
0.25,0.575316984885864,0.57461073160089,0.616490275123665,0.59478803930826,0.611723266155462,0.586552944490129,0.569374992355605,0.603621886972285,0.616589202622032,0.574607075003534,0.573260908974246,0.583105848499794,0.58134698329626,0.574145504014048,0.592947126776734,0.602899490563227,0.564799881963468,0.588920706360986,0.575203713254424,0.583440273984548
0.3,0.525253449731506,0.524610496586754,0.561609750908807,0.542069669059396,0.557179368356945,0.533021065435541,0.519414928373291,0.548002208967811,0.56055125192757,0.524834032985328,0.523450824261336,0.531558550053724,0.528743512301725,0.52459367397554,0.541019258787383,0.54865830301444,0.514431581505531,0.535923890161335,0.524059723909801,0.530727847840355
0.35,0.479354292268277,0.478725300863092,0.51155092683643,0.493855111483664,0.507431622704417,0.484154550804878,0.473498343973711,0.497531007783681,0.509467340296385,0.479174480864611,0.47764671240685,0.484322485659006,0.480660475417077,0.479062780812473,0.49349068967541,0.499121917401897,0.468362383829021,0.487477534733151,0.477265713849423,0.482622272657926
0.4,0.437174214517323,0.436495808059131,0.465615296691575,0.449871674713044,0.461843934605649,0.439469550822658,0.431377992779929,0.45142465585053,0.462967921314771,0.437185611895927,0.435827713091533,0.441197484877535,0.43662928745082,0.437130151354219,0.449867365467752,0.453804620677741,0.42595813958054,0.443101088765668,0.434360591932056,0.438557803729203
0.45,0.398373464188961,0.397610940456545,0.42350247074242,0.409472106976801,0.420034640159852,0.39878016209588,0.392563129833079,0.409356830101314,0.420335388906627,0.398508802071774,0.397309570855451,0.40167954347029,0.3962617278264,0.398690596500659,0.409753093714832,0.412282778433986,0.387026880285353,0.4025908215758,0.395208383636031,0.398170591153091
0.5,0.362848935045255,0.361772734204276,0.38484713387997,0.372304984668834,0.381643160361392,0.361324008541842,0.356853186323366,0.370545235413123,0.381264905895287,0.363011979044327,0.361798924602993,0.365095330824202,0.359418539139818,0.363233929721445,0.373150395313829,0.374241060276651,0.35134935543258,0.365418043017797,0.359049623427761,0.361281159197598
0.55,0.330142580557591,0.32893049247861,0.349468223913565,0.338209157759587,0.346656506418609,0.326980096071704,0.323991899651051,0.335006255403324,0.34544476724901,0.330087533197474,0.329090521510109,0.331437448481666,0.325550997543063,0.330519398709223,0.339344634135571,0.339495676626595,0.318695207095246,0.331303872159006,0.325720854725173,0.327443886994711
0.6,0.299762778529558,0.298622799184761,0.316629641869427,0.306650075419138,0.314431833981205,0.295504412790678,0.293938006217229,0.302908343661604,0.312773603491714,0.299695313408412,0.298737690681335,0.30060466859266,0.294506269570696,0.300339837820074,0.30814433527288,0.307697982586495,0.288974159995173,0.300002639044442,0.295019064294452,0.296504239209491
0.65,0.271586678770608,0.270714585797521,0.286612865896235,0.277630474442404,0.284781517883862,0.266705272964034,0.266226534748825,0.273508220356537,0.282306287268098,0.271663235687298,0.270895593020439,0.27232307539669,0.266070405356236,0.272710651033026,0.279370428333053,0.278280965210692,0.261393075749409,0.271564717248752,0.266779453551105,0.268097301166824
0.7,0.245880097077305,0.245044946372465,0.259405194517428,0.25097501698041,0.25752777919509,0.240718985165519,0.240748679318052,0.246844818708689,0.255089801828858,0.245951314253109,0.245413808630462,0.246560808223477,0.24016317791949,0.247160106313272,0.252958676547686,0.251118462755151,0.235888042532255,0.2453364068849,0.24154034524104,0.242045949459273
0.75,0.22284057261882,0.221585783448535,0.234338979251574,0.226710205652984,0.232606913989529,0.216940844070853,0.217359846289853,0.222031721797518,0.230131924758599,0.222764974068328,0.221969664107471,0.222708290683972,0.216162963714355,0.223588485977642,0.228452682609707,0.226545737026772,0.212621103766889,0.221213382783827,0.217958341967078,0.218315485210422
0.8,0.200675605484634,0.199789292521103,0.211414367868013,0.204774604928748,0.209422385305051,0.194976310241384,0.195985224192061,0.199444149617868,0.207075479205796,0.201139846987633,0.200583107774621,0.200705155734568,0.194545831921552,0.201883512504963,0.206535967951604,0.204638435643479,0.191740555361124,0.199071009281697,0.195942278000302,0.196195556384279
0.85,0.181271136213241,0.179969187380157,0.190077256428597,0.184434489232739,0.18892395573421,0.174901841290864,0.176330834490465,0.179397027002849,0.185902609234027,0.181051032222704,0.18071626233188,0.180537634102231,0.175008019451835,0.181960934478929,0.186123927117084,0.183466477610126,0.172668876698696,0.178968556590963,0.176765457116581,0.176627676977024
0.9,0.163047451328426,0.162131520855287,0.171288946186111,0.165653615275319,0.169923362083092,0.157189103336825,0.158769623823085,0.160868186194517,0.16766048382797,0.163141399009518,0.162420315914131,0.162580381065006,0.157082415055715,0.164060912745172,0.167184238231655,0.165367574438402,0.154767857875992,0.161189219619231,0.158796369945338,0.158691144413397
0.95,0.146497154701715,0.145714782316883,0.153689762598219,0.148823056536357,0.152373638910508,0.141051546913691,0.142546747623957,0.143822688076327,0.149731180960043,0.146768210168791,0.146248944617511,0.146244845709011,0.140738847472997,0.147615363437474,0.150577022560099,0.148107000099377,0.139178003718976,0.144397436986411,0.142259135974556,0.142147397035712
1,0.131681058451399,0.130707384332,0.137753996732449,0.133637310526651,0.136761247228009,0.126051139781871,0.127613201301406,0.129258359927945,0.134659683088866,0.131717584549813,0.131339450473531,0.130699208580691,0.12619157633271,0.132336456848956,0.135402640137873,0.132890643394653,0.124299149678909,0.129376360356287,0.128054051644272,0.127259506862862
1.05,0.117639277111958,0.117292856833527,0.123622554667907,0.119791555192929,0.122847025811213,0.11287477591076,0.114418772346414,0.115062907018244,0.120062982339677,0.118375120800316,0.117691594038209,0.11748724669714,0.112835079521731,0.118778869363499,0.12127409411836,0.11896174033966,0.111552776974373,0.115921413076136,0.114077800958243,0.114268170857932
1.1,0.105843557102253,0.104984789810417,0.110490154582821,0.107239145159981,0.109549185936245,0.100452922135653,0.102602921973578,0.103096272302784,0.107666118127661,0.1056827343448,0.105495077623079,0.104967304627174,0.100607595257297,0.106488419996452,0.108646291532709,0.10622458268512,0.0996116101734022,0.10331618256906,0.102472821323993,0.101638553622705
1.15,0.0941198211609183,0.0936893014731589,0.0989688947906445,0.0958082303164142,0.0982226411672001,0.0899355062929465,0.0913572251525169,0.0916631022279094,0.0958944833266601,0.0947613251663256,0.0943473465907857,0.093822077601178,0.0900032065338782,0.0951625645622773,0.0970499581991918,0.0950918991182498,0.0889359988864972,0.092506429299321,0.0910187175477453,0.0911207204709499
1.2,0.0845127443601226,0.0838776784928514,0.0881749666590803,0.085480816667978,0.0872525990843749,0.0797493288713115,0.0818262398100677,0.0819176255386296,0.0857354025484379,0.0843894566000787,0.0841108381455698,0.0838613732886683,0.0799569232059562,0.0852637919970057,0.0867764388738948,0.0845004049950797,0.0794474631325923,0.0825242898379094,0.0816614123150145,0.0808002675036717
1.25,0.0749506869056482,0.0745610694379048,0.0787339514173489,0.0762991875810874,0.078203145912348,0.0713928862299207,0.0726208017885287,0.0727904063126741,0.076257462267291,0.0755470699153246,0.0752483918232761,0.0744947596665622,0.0714558977028872,0.0759072141098425,0.077358450816246,0.0755940107855304,0.0705649630712114,0.0734783053101292,0.0723695962798,0.0723832255029812
1.3,0.0672149362964353,0.0666912087744677,0.0700808481006115,0.0678800873102148,0.0693549315911412,0.0632704828376878,0.064983071459132,0.0648722170009413,0.0678848626918299,0.0671492074171421,0.0668274210739857,0.0666792876585042,0.0635123349165296,0.0678095269454347,0.0690581089305167,0.0669435553605528,0.0630157221858353,0.0654894566819993,0.0648538944854633,0.0641395082893135
